headline,article_link,is_sarcastic,date
I’ll Miss My Roommates,https://www.newyorker.com//humor/daily-shouts/ill-miss-my-roommates,1,"April 19, 2021"
"Daily Cartoon: Monday, April 19th",https://www.newyorker.com//cartoons/daily-cartoon/monday-april-19th-home-cross-stitch,1,"April 19, 2021"
Cocaine Hippos and Mafia Parrots: How Drug Lords Saved the Planet,https://www.newyorker.com//humor/daily-shouts/cocaine-hippos-and-mafia-parrots-how-drug-lords-saved-the-planet,1,"April 18, 2021"
Marjorie Taylor Greene Calls for the Development of Anglo-Saxon Space Lasers,https://www.newyorker.com//humor/borowitz-report/marjorie-taylor-greene-calls-for-the-development-of-anglo-saxon-space-lasers,1,"April 17, 2021"
"More Haikus from My Parents’ House, One Year In",https://www.newyorker.com//humor/daily-shouts/more-haikus-from-my-parents-house-one-year-in,1,"April 17, 2021"
All My Friends Are Buying Houses and Having Babies,https://www.newyorker.com//humor/daily-shouts/all-my-friends-are-buying-houses-and-having-babies,1,"April 16, 2021"
"Daily Cartoon: Friday, April 16th",https://www.newyorker.com//cartoons/daily-cartoon/friday-april-16th-blooming-voter-suppression,1,"April 16, 2021"
Ring Doorbell Recap,https://www.newyorker.com//humor/daily-shouts/ring-doorbell-recap,1,"April 16, 2021"
How to Play COVID Chess,https://www.newyorker.com//humor/daily-shouts/how-to-play-covid-chess,1,"April 15, 2021"
"Daily Cartoon: Thursday, April 15th",https://www.newyorker.com//cartoons/daily-cartoon/thursday-april-15th-post-vac,1,"April 15, 2021"
"Happy Anniversary, Instagram Sweatsuit",https://www.newyorker.com//humor/daily-shouts/happy-anniversary-instagram-sweatsuit,1,"April 15, 2021"
I Am Trying to Decide if I Should Buy Two Rolls of Paper Towel or Three,https://www.newyorker.com//humor/daily-shouts/i-am-trying-to-decide-if-i-should-buy-two-rolls-of-paper-towel-or-three,1,"April 14, 2021"
Biden Tells Putin He Must Return His Oval Office Keys,https://www.newyorker.com//humor/borowitz-report/biden-tells-putin-he-must-return-his-oval-office-keys,1,"April 14, 2021"
"Daily Cartoon: Wednesday, April 14th",https://www.newyorker.com//cartoons/daily-cartoon/wednesday-april-14th-party-bears,1,"April 14, 2021"
The Seven Days of Creation Under Capitalism,https://www.newyorker.com//humor/daily-shouts/the-seven-days-of-creation-under-capitalism,1,"April 14, 2021"
D.I.Y. Fixes for Your Broken Dreams,https://www.newyorker.com//humor/daily-shouts/diy-fixes-for-your-broken-dreams,1,"April 13, 2021"
"Daily Cartoon: Tuesday, April 13th",https://www.newyorker.com//cartoons/daily-cartoon/tuesday-april-13th-turtle-fedora,1,"April 13, 2021"
What I’d Tell My Younger Self,https://www.newyorker.com//humor/daily-shouts/what-id-tell-my-younger-self,1,"April 13, 2021"
City of Atlanta Pulls Out of Georgia,https://www.newyorker.com//humor/borowitz-report/city-of-atlanta-pulls-out-of-georgia,1,"April 12, 2021"
"Daily Cartoon: Monday, April 12th",https://www.newyorker.com//cartoons/daily-cartoon/monday-april-12th-vaccine-dating,1,"April 12, 2021"
I’m Not from the Past—I Sweareth!,https://www.newyorker.com//humor/daily-shouts/im-not-from-the-past-i-sweareth,1,"April 11, 2021"
Contexts in Which We Should Continue to Refer to the Population as “The Herd”,https://www.newyorker.com//humor/daily-shouts/contexts-in-which-we-should-continue-to-refer-to-the-population-as-the-herd,1,"April 10, 2021"
"HBO Max Presents: The True Movie-Theatre Experience, Now on Demand",https://www.newyorker.com//humor/daily-shouts/hbo-max-presents-the-true-movie-theatre-experience-now-on-demand,1,"April 9, 2021"
"Daily Cartoon: Friday, April 9th",https://www.newyorker.com//cartoons/daily-cartoon/friday-april-9th-covid-passport,1,"April 9, 2021"
Om Alone,https://www.newyorker.com//humor/daily-shouts/om-alone,1,"April 9, 2021"
"Daily Cartoon: Thursday, April 8th",https://www.newyorker.com//cartoons/daily-cartoon/thursday-april-8th-godzilla-allergies,1,"April 8, 2021"
My New Weed Store,https://www.newyorker.com//humor/daily-shouts/my-new-weed-store,1,"April 8, 2021"
McConnell Says Corporations Should Follow His Example and Not Get Involved in Government,https://www.newyorker.com//humor/borowitz-report/mcconnell-says-corporations-should-follow-his-example-and-not-get-involved-in-government,1,"April 7, 2021"
"Daily Cartoon: Wednesday, April 7th",https://www.newyorker.com//cartoons/daily-cartoon/wednesday-april-7th-three-daffodils,1,"April 7, 2021"
I’m a Person of Color and Everyone Is Suddenly Interested in Me—Something Bad Must Have Happened,https://www.newyorker.com//humor/daily-shouts/im-a-person-of-color-and-everyone-is-suddenly-interested-in-me-something-bad-must-have-happened,1,"April 7, 2021"
New Georgia Poll Shows Kemp Losing Governor’s Race to Can of Coca-Cola,https://www.newyorker.com//humor/borowitz-report/new-georgia-poll-shows-kemp-losing-governors-race-to-can-of-coca-cola,1,"April 6, 2021"
Welcome to Dollyworld!,https://www.newyorker.com//humor/daily-shouts/welcome-to-dollyworld,1,"April 6, 2021"
"Daily Cartoon: Tuesday, April 6th",https://www.newyorker.com//cartoons/daily-cartoon/tuesday-april-6th-cinderella-vaccine,1,"April 6, 2021"
How to Have a Conversation Again,https://www.newyorker.com//humor/daily-shouts/how-to-have-a-conversation-again,1,"April 6, 2021"
Think You Deserve Companionship? Apply to Adopt a Dog Today!,https://www.newyorker.com//humor/daily-shouts/think-you-deserve-companionship-apply-to-adopt-a-dog-today,1,"April 5, 2021"
Rand Paul Claims Biden’s Infrastructure Plan Infringes on Bridges’ Right to Crumble,https://www.newyorker.com//humor/borowitz-report/rand-paul-claims-bidens-infrastructure-plan-infringes-on-bridges-right-to-crumble,1,"April 5, 2021"
"Daily Cartoon: Monday, April 5th",https://www.newyorker.com//cartoons/daily-cartoon/monday-april-5th-jump-ball,1,"April 5, 2021"
Brooklyn Gifts of the Magi,https://www.newyorker.com//humor/daily-shouts/brooklyn-gifts-of-the-magi,1,"April 3, 2021"
Some Tips on How to Multitask,https://www.newyorker.com//humor/daily-shouts/some-tips-on-how-to-multitask,1,"April 2, 2021"
"Daily Cartoon: Friday, April 2nd",https://www.newyorker.com//cartoons/daily-cartoon/friday-april-2nd-godzilla-toke,1,"April 2, 2021"
Servicing Your Boy,https://www.newyorker.com//humor/daily-shouts/servicing-your-boy,1,"April 2, 2021"
Home Solutions for Maskne,https://www.newyorker.com//humor/daily-shouts/home-solutions-for-maskne,1,"April 1, 2021"
Marjorie Taylor Greene Rips Biden Infrastructure Plan for Lacking Dome to Shield U.S. from Lasers,https://www.newyorker.com//humor/borowitz-report/marjorie-taylor-greene-rips-biden-infrastructure-plan-for-lacking-dome-to-shield-us-from-lasers,1,"April 1, 2021"
"Daily Cartoon: Thursday, April 1st",https://www.newyorker.com//cartoons/daily-cartoon/thursday-april-1st-mr-met,1,"April 1, 2021"
"Thirty-Six Hours in Starbase, Texas",https://www.newyorker.com//humor/daily-shouts/thirty-six-hours-in-starbase-texas,1,"April 1, 2021"
Bonus Daily Cartoon: Gun Reform,https://www.newyorker.com//cartoons/daily-cartoon/bonus-daily-cartoon-gun-reform,1,"March 31, 2021"
"Daily Cartoon: Wednesday, March 31st",https://www.newyorker.com//cartoons/daily-cartoon/wednesday-march-31st-vaccine-reveal,1,"March 31, 2021"
"The American Taxpayer, as Defined by the Government",https://www.newyorker.com//humor/daily-shouts/the-american-taxpayer-as-defined-by-the-government,1,"March 31, 2021"
"Daily Cartoon: Tuesday, March 30th",https://www.newyorker.com//cartoons/daily-cartoon/tuesday-march-30th-cooking-trends,1,"March 30, 2021"
Opening Lines Rewritten for a Pandemic,https://www.newyorker.com//humor/daily-shouts/opening-lines-rewritten-for-a-pandemic,1,"March 30, 2021"
Ivanka Loves Florida!,https://www.newyorker.com//humor/daily-shouts/ivanka-loves-florida,1,"March 29, 2021"
"Daily Cartoon: Monday, March 29th",https://www.newyorker.com//cartoons/daily-cartoon/monday-march-29th-springbreaknado,1,"March 29, 2021"
Georgia Governor Declares Water a Gateway Drug That Leads to Voting,https://www.newyorker.com//humor/borowitz-report/georgia-governor-declares-water-a-gateway-drug-that-leads-to-voting,1,"March 29, 2021"
Dear Pepper: An Artistic Decision,https://www.newyorker.com//humor/daily-shouts/dear-pepper-an-artistic-decision,1,"March 28, 2021"
Pepé Le Pew Apologizes,https://www.newyorker.com//humor/daily-shouts/pepe-le-pew-apologizes,1,"March 27, 2021"
"Daily Cartoon: Friday, March 26th",https://www.newyorker.com//cartoons/daily-cartoon/friday-march-26th-ever-given,1,"March 26, 2021"
Biden’s Eightfold Path to Citizenship,https://www.newyorker.com//humor/daily-shouts/bidens-eightfold-path-to-citizenship,1,"March 26, 2021"
Tucker Carlson Accuses Biden of Faking Mental Sharpness for More Than an Hour,https://www.newyorker.com//humor/borowitz-report/tucker-carlson-accuses-biden-of-faking-mental-sharpness-for-more-than-an-hour,1,"March 25, 2021"
"Not-So-Special Characters: The Biggest Grifters, Frauds, and Outright Nobodies on Today’s Typographical Scene",https://www.newyorker.com//humor/daily-shouts/not-so-special-characters-the-biggest-grifters-frauds-and-outright-nobodies-on-todays-typographical-scene,1,"March 25, 2021"
"Daily Cartoon: Thursday, March 25th",https://www.newyorker.com//cartoons/daily-cartoon/thursday-march-25th-bored-room,1,"March 25, 2021"
A Few Proposed Trade-Offs,https://www.newyorker.com//humor/daily-shouts/a-few-proposed-trade-offs,1,"March 25, 2021"
"Daily Cartoon: Wednesday, March 24th",https://www.newyorker.com//cartoons/daily-cartoon/wednesday-march-24th-spring-run,1,"March 24, 2021"
GoFundMe.gov F.A.Q.,https://www.newyorker.com//humor/daily-shouts/gofundmegov-faq,1,"March 24, 2021"
How to Travel in Time,https://www.newyorker.com//humor/daily-shouts/how-to-travel-in-time,1,"March 23, 2021"
"Daily Cartoon: Tuesday, March 23rd",https://www.newyorker.com//cartoons/daily-cartoon/tuesday-march-23rd-screen-time,1,"March 23, 2021"
Other Projects by Former and Present Politicians,https://www.newyorker.com//humor/daily-shouts/other-projects-by-former-and-present-politicians,1,"March 23, 2021"
Duelling Book Blurbs,https://www.newyorker.com//humor/daily-shouts/duelling-book-blurbs,1,"March 22, 2021"
"Daily Cartoon: Monday, March 22nd",https://www.newyorker.com//cartoons/daily-cartoon/monday-march-22nd-desert-island-dining,1,"March 22, 2021"
Coronavirus Thanks Ron DeSantis for Making It Feel So Welcome at Spring Break,https://www.newyorker.com//humor/borowitz-report/coronavirus-thanks-ron-desantis-for-making-it-feel-so-welcome-at-spring-break,1,"March 22, 2021"
Inspired New Scents from the Pandemicandle Co.,https://www.newyorker.com//humor/daily-shouts/inspired-new-scents-from-the-pandemicandle-co,1,"March 21, 2021"
"I’m an Insecure Stock Photo of a Vaccine Vial, and This Is My Moment to Shine",https://www.newyorker.com//humor/daily-shouts/im-an-insecure-stock-photo-of-a-vaccine-vial-and-this-is-my-moment-to-shine,1,"March 20, 2021"
Find Love Without Leaving Your Apartment,https://www.newyorker.com//humor/daily-shouts/find-love-without-leaving-your-apartment,1,"March 19, 2021"
Fauci Nostalgic for Days When He Testified via Zoom and Could Mute Rand Paul,https://www.newyorker.com//humor/borowitz-report/fauci-nostalgic-for-days-when-he-testified-via-zoom-and-could-mute-rand-paul,1,"March 19, 2021"
"Daily Cartoon: Friday, March 19th",https://www.newyorker.com//cartoons/daily-cartoon/friday-march-19th-emily-paris-zack-snyder,1,"March 19, 2021"
My Persian Grandmother Reviews My Favorite Brands,https://www.newyorker.com//humor/daily-shouts/my-persian-grandmother-reviews-my-favorite-brands,1,"March 19, 2021"
Putin Misses Former Employee,https://www.newyorker.com//humor/borowitz-report/putin-misses-former-employee,1,"March 18, 2021"
"Daily Cartoon: Thursday, March 18th",https://www.newyorker.com//cartoons/daily-cartoon/thursday-march-18th-dorian-gray,1,"March 18, 2021"
How to Become a Billionaire in 2021,https://www.newyorker.com//humor/daily-shouts/how-to-become-a-billionaire-in-2021,1,"March 18, 2021"
Clifford the Big Red Dog’s Latest Adventures,https://www.newyorker.com//humor/daily-shouts/clifford-the-big-red-dogs-latest-adventures,1,"March 17, 2021"
"Daily Cartoon: Wednesday, March 17th",https://www.newyorker.com//cartoons/daily-cartoon/wednesday-march-17th-fire-escape,1,"March 17, 2021"
New Pills for Right Now,https://www.newyorker.com//humor/daily-shouts/new-pills-for-right-now,1,"March 17, 2021"
Middle-Aged Superheroes,https://www.newyorker.com//humor/daily-shouts/middle-aged-superheroes,1,"March 16, 2021"
"Daily Cartoon: Tuesday, March 16th",https://www.newyorker.com//cartoons/daily-cartoon/tuesday-march-16th-on-vacation,1,"March 16, 2021"
Obama Persuades Republicans to Take Vaccine by Urging Them Not To,https://www.newyorker.com//humor/borowitz-report/obama-persuades-republicans-to-take-vaccine-by-urging-them-not-to,1,"March 16, 2021"
ZAnon: A Higher-Ranking Anon Sets the Record Straight,https://www.newyorker.com//humor/daily-shouts/zanon-a-higher-ranking-anon-sets-the-record-straight,1,"March 16, 2021"
The Bored Boyfriend,https://www.newyorker.com//humor/daily-shouts/the-bored-boyfriend,1,"March 15, 2021"
Ted Cruz Accuses Democrats of Trying to Cancel Poverty,https://www.newyorker.com//humor/borowitz-report/ted-cruz-accuses-democrats-of-trying-to-cancel-poverty,1,"March 15, 2021"
"Daily Cartoon: Monday, March 15th",https://www.newyorker.com//cartoons/daily-cartoon/monday-march-15th-daylight-saving-time,1,"March 15, 2021"
Some New Hybrid-Fruit Ideas,https://www.newyorker.com//humor/daily-shouts/some-new-hybrid-fruit-ideas,1,"March 14, 2021"
The Queen’s Statement on Harry and Meghan: Early Drafts,https://www.newyorker.com//humor/daily-shouts/the-queens-statement-on-harry-and-meghan-early-drafts,1,"March 13, 2021"
Dolls That Failed,https://www.newyorker.com//humor/daily-shouts/dolls-that-failed,1,"March 12, 2021"
"Daily Cartoon: Friday, March 12th",https://www.newyorker.com//cartoons/daily-cartoon/friday-march-12th-hamster-pandemic,1,"March 12, 2021"
Trump Accuses Biden of Assaulting American People with Long Words,https://www.newyorker.com//humor/borowitz-report/trump-accuses-biden-of-assaulting-american-people-with-long-words,1,"March 12, 2021"
The Boyfriend Identity: Part 3,https://www.newyorker.com//humor/daily-shouts/the-boyfriend-identity-part-3,1,"March 12, 2021"
F.B.I. Agents Infiltrate a Pandemic-Joke Speakeasy,https://www.newyorker.com//humor/daily-shouts/fbi-agents-infiltrate-a-pandemic-joke-speakeasy,1,"March 11, 2021"
"Daily Cartoon: Thursday, March 11th",https://www.newyorker.com//cartoons/daily-cartoon/thursday-march-11th-alexander-terrible,1,"March 11, 2021"
The Boyfriend Identity: Part 2,https://www.newyorker.com//humor/daily-shouts/the-boyfriend-identity-part-2,1,"March 11, 2021"
Rand Paul Saddened to See Government Flagrantly Helping People,https://www.newyorker.com//humor/borowitz-report/rand-paul-saddened-to-see-government-flagrantly-helping-people,1,"March 10, 2021"
Is Your Dog Really Your Best Friend?,https://www.newyorker.com//humor/daily-shouts/is-your-dog-really-your-best-friend,1,"March 10, 2021"
"Daily Cartoon: Wednesday, March 10th",https://www.newyorker.com//cartoons/daily-cartoon/wednesday-march-10th-georgia-vote,1,"March 10, 2021"
The Boyfriend Identity: Part 1,https://www.newyorker.com//humor/daily-shouts/the-boyfriend-identity-part-1,1,"March 10, 2021"
Learning to Appreciate the Small Things,https://www.newyorker.com//humor/daily-shouts/learning-to-appreciate-the-small-things,1,"March 9, 2021"
"Daily Cartoon: Tuesday, March 9th",https://www.newyorker.com//cartoons/daily-cartoon/tuesday-march-9th-brought-doughnuts,1,"March 9, 2021"
Georgia to Allow Some Voting in Certain Situations,https://www.newyorker.com//humor/borowitz-report/georgia-to-allow-some-voting-in-certain-situations,1,"March 9, 2021"
"A Look Back at March 12, 2020",https://www.newyorker.com//humor/daily-shouts/a-look-back-at-march-12-2020,1,"March 9, 2021"
Meet Fluff Man,https://www.newyorker.com//humor/daily-shouts/meet-fluff-man,1,"March 8, 2021"
"Daily Cartoon: Monday, March 8th",https://www.newyorker.com//cartoons/daily-cartoon/monday-march-8th-snowman-conference,1,"March 8, 2021"
Kevin McCarthy Blasts Relief Package for Failing to Address Dr. Seuss Crisis,https://www.newyorker.com//humor/borowitz-report/kevin-mccarthy-blasts-relief-package-for-failing-to-address-dr-seuss-crisis,1,"March 7, 2021"
Places Beyond Boredom,https://www.newyorker.com//humor/daily-shouts/places-beyond-boredom,1,"March 7, 2021"
New QAnon Theory Predicts Trump Will Return in April as Easter Bunny,https://www.newyorker.com//humor/borowitz-report/new-qanon-theory-predicts-trump-will-return-in-april-as-easter-bunny,1,"March 6, 2021"
Balto’s Sinister Plot to Save Americans,https://www.newyorker.com//humor/daily-shouts/baltos-sinister-plot-to-save-americans,1,"March 6, 2021"
Dear Pepper: Wooing Your Ex’s Parents,https://www.newyorker.com//humor/daily-shouts/dear-pepper-wooing-your-exs-parents,1,"March 5, 2021"
"Daily Cartoon: Friday, March 5th",https://www.newyorker.com//cartoons/daily-cartoon/friday-march-5th-newscaster-sports,1,"March 5, 2021"
Jobs You Can Add to Your Résumé as a Single Person,https://www.newyorker.com//humor/daily-shouts/jobs-you-can-add-to-your-resume-as-a-single-person,1,"March 5, 2021"
Ways Non-Woke People from History Tried to Be Woke,https://www.newyorker.com//humor/daily-shouts/ways-non-woke-people-from-history-tried-to-be-woke,1,"March 4, 2021"
"Daily Cartoon: Thursday, March 4th",https://www.newyorker.com//cartoons/daily-cartoon/thursday-march-4th-cat-zoom,1,"March 4, 2021"
Texans Nostalgic for Wisdom of Rick Perry,https://www.newyorker.com//humor/borowitz-report/texans-nostalgic-for-wisdom-of-rick-perry,1,"March 4, 2021"
Ask the COVID-Vaccine Ethicist,https://www.newyorker.com//humor/daily-shouts/ask-the-covid-vaccine-ethicist,1,"March 4, 2021"
Ten Types of Neighbors You May Encounter in an Apartment Complex,https://www.newyorker.com//humor/daily-shouts/ten-types-of-neighbors-you-may-encounter-in-an-apartment-complex,1,"March 3, 2021"
"Daily Cartoon: Wednesday, March 3rd",https://www.newyorker.com//cartoons/daily-cartoon/wednesday-march-3rd-cooking-podcast,1,"March 3, 2021"
Republicans Accuse Biden of Trying to Score Political Points by Ending Pandemic,https://www.newyorker.com//humor/borowitz-report/republicans-accuse-biden-of-trying-to-score-political-points-by-ending-pandemic,1,"March 3, 2021"
Updated Horror-Movie Tropes,https://www.newyorker.com//humor/daily-shouts/updated-horror-movie-tropes,1,"March 3, 2021"
Are You Feeling Tense?,https://www.newyorker.com//humor/daily-shouts/are-you-feeling-tense,1,"March 2, 2021"
"Daily Cartoon: Tuesday, March 2nd",https://www.newyorker.com//cartoons/daily-cartoon/tuesday-march-2nd-circle-back,1,"March 2, 2021"
Zillow Listings for Earth,https://www.newyorker.com//humor/daily-shouts/zillow-listings-for-earth,1,"March 2, 2021"
Josh Hawley Seeks to Overturn Results of CPAC Straw Poll,https://www.newyorker.com//humor/borowitz-report/josh-hawley-seeks-to-overturn-results-of-cpac-straw-poll,1,"March 1, 2021"
The Environmentalist Guns N’ Roses Song You Thought You Hated,https://www.newyorker.com//humor/daily-shouts/the-environmentalist-guns-n-roses-song-you-thought-you-hated,1,"March 1, 2021"
"Daily Cartoon: Monday, March 1st",https://www.newyorker.com//cartoons/daily-cartoon/monday-march-1st-king-and-mob,1,"March 1, 2021"
Trump Says Prison Time for Ex-President of France Sets Horrible Precedent,https://www.newyorker.com//humor/borowitz-report/trump-says-prison-time-for-ex-president-of-france-sets-horrible-precedent,1,"March 1, 2021"
Plots of Nineteen-Eighties Movies if Their Protagonists Had Been People of Color,https://www.newyorker.com//humor/daily-shouts/plots-of-nineteen-eighties-movies-if-their-protagonists-had-been-people-of-color,1,"February 27, 2021"
The Eight People You Meet on Slack,https://www.newyorker.com//humor/daily-shouts/the-eight-people-you-meet-on-slack,1,"February 26, 2021"
Trump to Announce He Has Won 2024 Election,https://www.newyorker.com//humor/borowitz-report/trump-to-announce-he-has-won-2024-election,1,"February 26, 2021"
"Daily Cartoon: Friday, February 26th",https://www.newyorker.com//cartoons/daily-cartoon/friday-february-26th-spring-clothes,1,"February 26, 2021"
Robbie: A User’s Guide,https://www.newyorker.com//humor/daily-shouts/robbie-a-users-guide,1,"February 26, 2021"
Trump’s Taxes Reveal He Claimed Ted Cruz as Dependent,https://www.newyorker.com//humor/borowitz-report/trumps-taxes-reveal-he-claimed-ted-cruz-as-dependent,1,"February 25, 2021"
What in Hamnation,https://www.newyorker.com//humor/daily-shouts/what-in-hamnation,1,"February 25, 2021"
"Daily Cartoon: Thursday, February 25th",https://www.newyorker.com//cartoons/daily-cartoon/thursday-february-25th-gourd-migration,1,"February 25, 2021"
Grammar Tips from a Thirty-Eight-Year-Old with an English Degree,https://www.newyorker.com//humor/daily-shouts/grammar-tips-from-a-thirty-eight-year-old-with-an-english-degree,1,"February 25, 2021"
Some Medieval Memes,https://www.newyorker.com//humor/daily-shouts/some-medieval-memes,1,"February 24, 2021"
"Daily Cartoon: Wednesday, February 24th",https://www.newyorker.com//cartoons/daily-cartoon/wednesday-february-24th-claw-vaccine,1,"February 24, 2021"
Ron Johnson Calls Hillary’s Absence from Insurrection Videos Suspicious,https://www.newyorker.com//humor/borowitz-report/ron-johnson-calls-hillarys-absence-from-insurrection-videos-suspicious,1,"February 24, 2021"
Exactly How Famous I Want to Be,https://www.newyorker.com//humor/daily-shouts/exactly-how-famous-i-want-to-be,1,"February 24, 2021"
Train Yourself to Be Happy,https://www.newyorker.com//humor/daily-shouts/train-yourself-to-be-happy,1,"February 23, 2021"
"Daily Cartoon: Tuesday, February 23rd",https://www.newyorker.com//cartoons/daily-cartoon/tuesday-february-23rd-pandemic-baby,1,"February 23, 2021"
A Sincere Apology from an Instagram Influencer Who Got Vaccinated by Calling Herself a Teacher,https://www.newyorker.com//humor/daily-shouts/a-sincere-apology-from-an-instagram-influencer-who-got-vaccinated-by-calling-herself-a-teacher,1,"February 23, 2021"
"Interior-Design Tips from a Straight, Single Man",https://www.newyorker.com//humor/daily-shouts/interior-design-tips-from-a-straight-single-man,1,"February 22, 2021"
"Trump Regrets Not Naming Ivanka, Eric, and Don, Jr., to Supreme Court",https://www.newyorker.com//humor/borowitz-report/trump-regrets-not-naming-ivanka-eric-and-don-jr-to-supreme-court,1,"February 22, 2021"
"Daily Cartoon: Monday, February 22nd",https://www.newyorker.com//cartoons/daily-cartoon/monday-february-22nd-phone-pigeon,1,"February 22, 2021"
Airbnb Reviews Decoded,https://www.newyorker.com//humor/daily-shouts/airbnb-reviews-decoded,1,"February 21, 2021"
Happy Fortieth Birthday from Botox!,https://www.newyorker.com//humor/daily-shouts/happy-fortieth-birthday-from-botox,1,"February 20, 2021"
Famous Philosophers’ Side Hustles,https://www.newyorker.com//humor/daily-shouts/famous-philosophers-side-hustles,1,"February 19, 2021"
"Daily Cartoon: Friday, February 19th",https://www.newyorker.com//cartoons/daily-cartoon/friday-february-19th-mars-rover,1,"February 19, 2021"
Every Prime-Time Special About a Female Celebrity from the Two-Thousands,https://www.newyorker.com//humor/daily-shouts/every-prime-time-special-about-a-female-celebrity-from-the-two-thousands,1,"February 19, 2021"
Dating Material: Essay Prompts for When You Think You’re Ready to Date Again,https://www.newyorker.com//humor/daily-shouts/dating-material-essay-prompts-for-when-you-think-youre-ready-to-date-again,1,"February 18, 2021"
Ted Cruz Heroically Investigates Whether Mexico Stole Heat and Sun from Texas,https://www.newyorker.com//humor/borowitz-report/ted-cruz-heroically-investigates-whether-mexico-stole-heat-and-sun-from-texas,1,"February 18, 2021"
"Daily Cartoon: Thursday, February 18th",https://www.newyorker.com//cartoons/daily-cartoon/thursday-february-18th-indoor-dining,1,"February 18, 2021"
Millions Join Class-Action Suit Against Trump Demanding Past Four Years Back,https://www.newyorker.com//humor/borowitz-report/millions-join-class-action-suit-against-trump-demanding-past-four-years-back,1,"February 18, 2021"
Black-History Facts You Think Might Be True Because Your School Never Taught You Black History,https://www.newyorker.com//humor/daily-shouts/black-history-facts-you-think-might-be-true-because-your-school-never-taught-you-black-history,1,"February 18, 2021"
The Five Stages of Quarantine Bangs,https://www.newyorker.com//humor/daily-shouts/the-five-stages-of-quarantine-bangs,1,"February 17, 2021"
"Daily Cartoon: Wednesday, February 17th",https://www.newyorker.com//cartoons/daily-cartoon/wednesday-february-17th-masks-cold,1,"February 17, 2021"
Poll: Ninety Per Cent of Republicans Would Book Rooms at Trump Plaza Hotel in Atlantic City,https://www.newyorker.com//humor/borowitz-report/poll-ninety-per-cent-of-republicans-would-book-rooms-at-trump-plaza-hotel-in-atlantic-city,1,"February 17, 2021"
These Aren’t Sweatpants—They’re Joggers,https://www.newyorker.com//humor/daily-shouts/these-arent-sweatpants-theyre-joggers,1,"February 17, 2021"
The Logic of Lifting COVID Restrictions Applied to Your Life,https://www.newyorker.com//humor/daily-shouts/the-logic-of-lifting-covid-restrictions-applied-to-your-life,1,"February 16, 2021"
"Daily Cartoon: Tuesday, February 16th",https://www.newyorker.com//cartoons/daily-cartoon/tuesday-february-16th-nursing-home,1,"February 16, 2021"
Adam Kinzinger Thrilled He Will No Longer Be Invited to Thanksgiving,https://www.newyorker.com//humor/borowitz-report/adam-kinzinger-thrilled-he-will-no-longer-be-invited-to-thanksgiving,1,"February 16, 2021"
Lonely “Proud Boy” Seeks New “Dom” Daddy (Authoritarian Leader),https://www.newyorker.com//humor/daily-shouts/lonely-proud-boy-seeks-new-dom-daddy-authoritarian-leader,1,"February 16, 2021"
Studies in Human Resilience,https://www.newyorker.com//humor/daily-shouts/studies-in-human-resilience,1,"February 15, 2021"
"Daily Cartoon: Monday, February 15th",https://www.newyorker.com//cartoons/daily-cartoon/monday-february-15th-the-deficit,1,"February 15, 2021"
Madison Fears He Made Constitution’s Impeachment Clause Too Hard for Idiots to Grasp,https://www.newyorker.com//humor/borowitz-report/madison-fears-he-made-constitutions-impeachment-clause-too-hard-for-idiots-to-grasp,1,"February 14, 2021"
Valentine’s Day Robocalls,https://www.newyorker.com//humor/daily-shouts/valentines-day-robocalls,1,"February 14, 2021"
When the Moon Hits Your Eye Like a Thing and What That Is,https://www.newyorker.com//humor/daily-shouts/when-the-moon-hits-your-eye-like-a-thing-and-what-that-is,1,"February 13, 2021"
How to Draw Dysfunctional Relationships,https://www.newyorker.com//culture/video-dept/how-to-draw-dysfunctional-relationships,1,"February 12, 2021"
Valentine’s Day Activities for the Recently Single,https://www.newyorker.com//humor/daily-shouts/valentines-day-activities-for-the-recently-single,1,"February 12, 2021"
"In Time-Saving Measure, Biden Signs Mile-Long Executive Order Reversing Everything Trump Did",https://www.newyorker.com//humor/borowitz-report/in-time-saving-measure-biden-signs-mile-long-executive-order-reversing-everything-trump-did,1,"February 12, 2021"
"Daily Cartoon: Friday, February 12th",https://www.newyorker.com//cartoons/daily-cartoon/friday-february-12th-cupid-tree,1,"February 12, 2021"
Darwin: A Life,https://www.newyorker.com//humor/daily-shouts/darwin-a-life,1,"February 12, 2021"
If Social-Media Apps Were Parties You Were Obligated to Attend,https://www.newyorker.com//humor/daily-shouts/if-social-media-apps-were-parties-you-were-obligated-to-attend,1,"February 11, 2021"
Marco Rubio Says He Got His Highest Candy Crush Score During Impeachment,https://www.newyorker.com//humor/borowitz-report/marco-rubio-says-he-got-his-highest-candy-crush-score-during-impeachment,1,"February 11, 2021"
"Daily Cartoon: Thursday, February 11th",https://www.newyorker.com//cartoons/daily-cartoon/thursday-february-11th-not-easy,1,"February 11, 2021"
Pitches for Hollywood’s Next Hit Lesbian Period Piece,https://www.newyorker.com//humor/daily-shouts/pitches-for-hollywoods-next-hit-lesbian-period-piece,1,"February 11, 2021"
"Verbatim Excerpts from My Teen Diaries, Illustrated",https://www.newyorker.com//humor/daily-shouts/verbatim-excerpts-from-my-teen-diaries-illustrated,1,"February 10, 2021"
